Date,Week,Year,Fuel,State,Region,Geography_Type,Price_CPL,Source_Name,Page_URL
2026-07-12,12 Jul,2026,Diesel,NSW/ACT,Canberra,Capital City,200.3,Canberra,https://aip.com.au/pricing/diesel/new-south-wales-act-retail-diesel-prices/canberra/
2026-07-19,19 Jul,2026,Diesel,NSW/ACT,Canberra,Capital City,201.3,Canberra,https://aip.com.au/pricing/diesel/new-south-wales-act-retail-diesel-prices/canberra/
2026-07-26,26 Jul,2026,Diesel,NSW/ACT,Canberra,Capital City,221.9,Canberra,https://aip.com.au/pricing/diesel/new-south-wales-act-retail-diesel-prices/canberra/
2026-08-02,2 Aug,2026,Diesel,NSW/ACT,Canberra,Capital City,239.7,Canberra,https://aip.com.au/pricing/diesel/new-south-wales-act-retail-diesel-prices/canberra/
2026-08-09,9 Aug,2026,Diesel,NSW/ACT,Canberra,Capital City,253.9,Canberra,https://aip.com.au/pricing/diesel/new-south-wales-act-retail-diesel-prices/canberra/
2026-08-16,16 Aug,2026,Diesel,NSW/ACT,Canberra,Capital City,244.8,Canberra,https://aip.com.au/pricing/diesel/new-south-wales-act-retail-diesel-prices/canberra/
2025-08-24,24 Aug,2025,Diesel,NSW/ACT,NSW Regional Average,State Regional Average,184.7,NSW Regional Average,https://aip.com.au/pricing/diesel/new-south-wales-act-retail-diesel-prices/nsw-regional-average/
2025-08-31,31 Aug,2025,Diesel,NSW/ACT,NSW Regional Average,State Regional Average,184.4,NSW Regional Average,https://aip.com.au/pricing/diesel/new-south-wales-act-retail-diesel-prices/nsw-regional-average/
2025-09-07,7 Sep,2025,Diesel,NSW/ACT,NSW Regional Average,State Regional Average,184.7,NSW Regional Average,https://aip.com.au/pricing/diesel/new-south-wales-act-retail-diesel-prices/nsw-regional-average/
2025-09-14,14 Sep,2025,Diesel,NSW/ACT,NSW Regional Average,State Regional Average,184.9,NSW Regional Average,https://aip.com.au/pricing/diesel/new-south-wales-act-retail-diesel-prices/nsw-regional-average/
2025-09-21,21 Sep,2025,Diesel,NSW/ACT,NSW Regional Average,State Regional Average,185.0,NSW Regional Average,https://aip.com.au/pricing/diesel/new-south-wales-act-retail-diesel-prices/nsw-regional-average/
2025-09-28,28 Sep,2025,Diesel,NSW/ACT,NSW Regional Average,State Regional Average,184.9,NSW Regional Average,https://aip.com.au/pricing/diesel/new-south-wales-act-retail-diesel-prices/nsw-regional-average/
2025-10-05,5 Oct,2025,Diesel,NSW/ACT,NSW Regional Average,State Regional Average,185.1,NSW Regional Average,https://aip.com.au/pricing/diesel/new-south-wales-act-retail-diesel-prices/nsw-regional-average/
2025-10-12,12 Oct,2025,Diesel,NSW/ACT,NSW Regional Average,State Regional Average,185.2,NSW Regional Average,https://aip.com.au/pricing/diesel/new-south-wales-act-retail-diesel-prices/nsw-regional-average/
2025-10-19,19 Oct,2025,Diesel,NSW/ACT,NSW Regional Average,State Regional Average,184.6,NSW Regional Average,https://aip.com.au/pricing/diesel/new-south-wales-act-retail-diesel-prices/nsw-regional-average/
2025-10-26,26 Oct,2025,Diesel,NSW/ACT,NSW Regional Average,State Regional Average,184.2,NSW Regional Average,https://aip.com.au/pricing/diesel/new-south-wales-act-retail-diesel-prices/nsw-regional-average/
2025-11-02,2 Nov,2025,Diesel,NSW/ACT,NSW Regional Average,State Regional Average,184.5,NSW Regional Average,https://aip.com.au/pricing/diesel/new-south-wales-act-retail-diesel-prices/nsw-regional-average/
2025-11-09,9 Nov,2025,Diesel,NSW/ACT,NSW Regional Average,State Regional Average,185.8,NSW Regional Average,https://aip.com.au/pricing/diesel/new-south-wales-act-retail-diesel-prices/nsw-regional-average/
2025-11-16,16 Nov,2025,Diesel,NSW/ACT,NSW Regional Average,State Regional Average,188.3,NSW Regional Average,https://aip.com.au/pricing/diesel/new-south-wales-act-retail-diesel-prices/nsw-regional-average/
2025-11-23,23 Nov,2025,Diesel,NSW/ACT,NSW Regional Average,State Regional Average,190.9,NSW Regional Average,https://aip.com.au/pricing/diesel/new-south-wales-act-retail-diesel-prices/nsw-regional-average/
2025-11-30,30 Nov,2025,Diesel,NSW/ACT,NSW Regional Average,State Regional Average,192.2,NSW Regional Average,https://aip.com.au/pricing/diesel/new-south-wales-act-retail-diesel-prices/nsw-regional-average/
2025-12-07,7 Dec,2025,Diesel,NSW/ACT,NSW Regional Average,State Regional Average,192.0,NSW Regional Average,https://aip.com.au/pricing/diesel/new-south-wales-act-retail-diesel-prices/nsw-regional-average/
2025-12-14,14 Dec,2025,Diesel,NSW/ACT,NSW Regional Average,State Regional Average,191.2,NSW Regional Average,https://aip.com.au/pricing/diesel/new-south-wales-act-retail-diesel-prices/nsw-regional-average/
2025-12-21,21 Dec,2025,Diesel,NSW/ACT,NSW Regional Average,State Regional Average,190.2,NSW Regional Average,https://aip.com.au/pricing/diesel/new-south-wales-act-retail-diesel-prices/nsw-regional-average/
2025-12-28,28 Dec,2025,Diesel,NSW/ACT,NSW Regional Average,State Regional Average,188.7,NSW Regional Average,https://aip.com.au/pricing/diesel/new-south-wales-act-retail-diesel-prices/nsw-regional-average/
2026-01-04,4 Jan,2026,Diesel,NSW/ACT,NSW Regional Average,State Regional Average,187.7,NSW Regional Average,https://aip.com.au/pricing/diesel/new-south-wales-act-retail-diesel-prices/nsw-regional-average/
2026-01-11,11 Jan,2026,Diesel,NSW/ACT,NSW Regional Average,State Regional Average,186.2,NSW Regional Average,https://aip.com.au/pricing/diesel/new-south-wales-act-retail-diesel-prices/nsw-regional-average/
2026-01-18,18 Jan,2026,Diesel,NSW/ACT,NSW Regional Average,State Regional Average,184.9,NSW Regional Average,https://aip.com.au/pricing/diesel/new-south-wales-act-retail-diesel-prices/nsw-regional-average/
